"Област","Община","Населено място","Район","Име на институцията","Вид на институцията","Вид на институцията - детайлен","Вид на институцията според начина на финансиране"
"София-град","Столична","София","Люлин","ДГ № 86 АСЕН БОСЕВ","детска градина","детска градина","Общинско"
"София-град","Столична","София","Люлин","ДГ № 73","детска градина","детска градина","Общинско"
"София-град","Столична","София","Люлин","ДГ № 68 ""Ран Босилек""","детска градина","детска градина","Общинско"
"София-град","Столична","София","Люлин","ДГ№64""Първи юни""","детска градина","детска градина","Общинско"
"София-град","Столична","София","Люлин","ДГ № 47 ""Незабравка""","детска градина","детска градина","Общинско"
"София-град","Столична","София","Люлин","ДГ №35","детска градина","детска градина","Общинско"
"София-град","Столична","София","Люлин","ДГ № 32 ""Българче""","детска градина","детска градина","Общинско"
"София-град","Столична","София","Люлин","ДГ № 31 ""ЛЮЛИН ""","детска градина","детска градина","Общинско"
"София-град","Столична","София","Люлин","ДГ № 22","детска градина","детска градина","Общинско"
"София-град","Столична","София","Люлин","ДГ№152","детска градина","детска градина","Общинско"
"София-град","Столична","София","Люлин","ДГ №139 ""Панорама""","детска градина","детска градина","Общинско"
"София-град","Столична","София","Люлин","ДГ- 197","детска градина","детска градина","Общинско"
"София-град","Столична","София","Люлин","ДГ №57","детска градина","детска градина","Общинско"
"София-град","Столична","София","Люлин","ДГ № 101 ""Ябълкова градина""","детска градина","детска градина","Общинско"
"София-град","Столична","София","Люлин","ДГ №55 ""Иглика""","детска градина","детска градина","Общинско"
"София-град","Столична","София","Люлин","ДГ № 200","детска градина","детска градина","Общинско"
"София-град","Столична","София","Младост","10 СУ ""Теодор Траянов""","неспециализирано","средно","Общинско"
"София-град","Столична","София","Младост","39 СУ ""П.Динеков""","неспециализирано","средно","Общинско"
"София-град","Столична","София","Младост","81. СУ ""Виктор Юго""","неспециализирано","средно","Общинско"
"София-град","Столична","София","Младост","82. ОУ ""В. Априлов""","неспециализирано","основно","Общинско"
